Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1765647595,50,,Aggregated,25.100000,0.000000,8,8,8,9,11,12,17,27,38,47,47,2794,0,8,8.499218553335535,6.3650609999967855,47.069795000425074,83.18611309949893
1765647596,50,,Aggregated,25.500000,0.000000,8,8,8,9,11,12,17,27,38,47,47,2818,0,8,8.492290494685271,6.3650609999967855,47.069795000425074,83.18594748048261
1765647597,50,,Aggregated,25.700000,0.000000,8,8,8,9,11,12,17,27,38,47,47,2843,0,8,8.487195928603777,6.3650609999967855,47.069795000425074,83.18607105170594
1765647598,50,,Aggregated,25.400000,0.000000,8,8,8,9,11,12,17,27,38,47,47,2870,0,8,8.481822351226748,6.3650609999967855,47.069795000425074,83.18606271777003
1765647599,50,,Aggregated,26.000000,0.000000,8,8,8,9,11,12,17,27,38,47,47,2893,0,8,8.482404294857007,6.3650609999967855,47.069795000425074,83.18907708261321
1765647600,50,,Aggregated,25.100000,0.000000,8,8,8,9,11,12,17,26,38,47,47,2915,0,8,8.483596760555724,6.3650609999967855,47.069795000425074,83.18833619210977
1765647601,50,,Aggregated,25.500000,0.000000,8,8,8,9,11,12,17,26,38,47,47,2945,0,8,8.47893720000667,6.3650609999967855,47.069795000425074,83.1904923599321
1765647602,50,,Aggregated,25.200000,0.000000,8,8,8,9,11,12,17,26,38,47,47,2970,0,8,8.479251837717536,6.3650609999967855,47.069795000425074,83.19057239057238
1765647603,50,,Aggregated,24.700000,0.000000,8,8,8,9,11,12,17,26,38,47,47,2999,0,8,8.480618188069611,6.3650609999967855,47.069795000425074,83.19173057685896
1765647604,50,,Aggregated,25.400000,0.000000,8,8,8,9,11,12,17,26,38,47,47,3018,0,8,8.483738474492121,6.3650609999967855,47.069795000425074,83.19019218025183
1765647605,50,,Aggregated,25.700000,0.000000,8,8,8,9,11,12,17,26,38,47,47,3042,0,8,8.478033341556813,6.3650609999967855,47.069795000425074,83.18934911242603
1765647606,50,,Aggregated,24.900000,0.000000,8,8,8,9,11,12,17,26,38,47,47,3070,0,8,8.469340469061567,6.3650609999967855,47.069795000425074,83.18631921824104
1765647607,50,,Aggregated,24.900000,0.000000,8,8,8,9,11,12,17,26,38,47,47,3097,0,8,8.463543134652003,6.3650609999967855,47.069795000425074,83.18566354536648
1765647608,50,,Aggregated,25.200000,0.000000,8,8,8,9,11,12,16,26,38,47,47,3120,0,8,8.454393859941634,6.3650609999967855,47.069795000425074,83.18301282051281
1765647609,50,,Aggregated,25.300000,0.000000,8,8,8,9,11,12,16,26,38,47,47,3144,0,8,8.448781078250516,6.3650609999967855,47.069795000425074,83.18225190839695
1765647610,50,,Aggregated,25.800000,0.000000,8,8,8,9,11,12,16,26,38,47,47,3171,0,8,8.44579872280715,6.3650609999967855,47.069795000425074,83.17880794701986
1765647611,50,,Aggregated,25.100000,0.000000,8,8,8,9,11,12,16,26,38,47,47,3190,0,8,8.444106904082167,6.3650609999967855,47.069795000425074,83.17868338557994
1765647612,50,,Aggregated,25.000000,0.000000,8,8,8,9,11,12,16,26,38,47,47,3219,0,8,8.438305694942857,6.3650609999967855,47.069795000425074,83.17955886921405
1765647613,50,,Aggregated,25.800000,0.000000,8,8,8,9,11,12,16,26,38,47,47,3236,0,8,8.4333537503152,6.3650609999967855,47.069795000425074,83.17861557478368
1765647614,50,,Aggregated,24.100000,0.000000,8,8,8,9,11,12,16,26,38,47,47,3262,0,8,8.426337864199551,6.3650609999967855,47.069795000425074,83.17903126916002
1765647615,50,,Aggregated,24.400000,0.000000,7,8,8,9,11,12,16,26,38,47,47,3284,0,7,8.419115454328972,6.3650609999967855,47.069795000425074,83.17935444579781
1765647616,50,,Aggregated,24.000000,0.000000,8,8,8,9,11,12,16,26,38,47,47,3312,0,7,8.41804129137058,6.3650609999967855,47.069795000425074,83.1784420289855
1765647617,50,,Aggregated,24.500000,0.000000,8,8,8,9,11,12,16,26,38,47,47,3336,0,7,8.41587044005459,6.3650609999967855,47.069795000425074,83.17655875299761
1765647618,50,,Aggregated,24.000000,0.000000,7,8,8,9,11,12,16,26,38,47,47,3356,0,7,8.40860134148415,6.3650609999967855,47.069795000425074,83.17342073897497
1765647619,50,,Aggregated,23.900000,0.000000,7,8,8,9,11,12,16,26,38,47,47,3378,0,7,8.403180439912036,6.3650609999967855,47.069795000425074,83.17199526346951
1765647620,50,,Aggregated,23.300000,0.000000,7,8,8,9,11,12,16,25,38,47,47,3406,0,7,8.399665584563683,6.3650609999967855,47.069795000425074,83.17175572519083
1765647621,50,,Aggregated,23.300000,0.000000,7,8,8,9,11,12,16,25,38,47,47,3430,0,7,8.391179889511864,6.3650609999967855,47.069795000425074,83.17026239067056
1765647622,50,,Aggregated,23.900000,0.000000,7,8,8,9,11,12,16,25,38,47,47,3454,0,7,8.388925814714806,6.3650609999967855,47.069795000425074,83.169079328315
1765647623,50,,Aggregated,23.700000,0.000000,7,8,8,9,11,12,16,25,38,47,47,3478,0,7,8.382907480168365,6.3650609999967855,47.069795000425074,83.16877515813687
1765647624,50,,Aggregated,23.900000,0.000000,7,8,8,9,11,12,16,25,38,47,47,3502,0,7,8.376695575391889,6.3650609999967855,47.069795000425074,83.16790405482581
1765647625,50,,Aggregated,23.500000,0.000000,7,8,8,9,11,12,16,25,38,47,47,3530,0,7,8.377684493774899,6.3650609999967855,47.069795000425074,83.16742209631728
